CustomerID,CustomerName,Country,Region
C0001,Emma Rodriguez,China,Asia
C0002,Emma Brown,United States,North America
C0003,Jennifer Silva,Singapore,Asia
C0004,Jennifer Miller,Germany,Europe
C0005,Mary Rossi,Mexico,North America
C0006,Noah Rossi,Mexico,North America
C0007,Sofia Rodriguez,Italy,Europe
C0008,Ethan Santos,China,Asia
C0009,Yuki Rodriguez,Canada,North America
C0010,Michael Williams,Canada,North America
C0011,Hiro Andersson,France,Europe
C0012,Olivia Patel,Germany,Europe
C0013,Jennifer Rossi,Italy,Europe
C0014,Valentina Mensah,Netherlands,Europe
C0015,Richard Dubois,Chile,South America
C0016,Joseph Costa,Mexico,North America
C0017,Joseph Okafor,Germany,Europe
C0018,Ingrid Nguyen,Canada,North America
C0019,Min-jun Chen,Brazil,South America
C0020,Noah Novak,Canada,North America
C0021,Diego Nguyen,China,Asia
C0022,Jessica Garcia,Mexico,North America
C0023,Thabo Dubois,France,Europe
C0024,Wei Nkosi,Netherlands,Europe
C0025,Joseph Nkosi,China,Asia
C0026,Raj Rodriguez,Canada,North America
C0027,Liam Wang,Mexico,North America
C0028,Raj Mensah,Canada,North America
C0029,Elizabeth Rodriguez,Nigeria,Africa
C0030,Marta Rossi,Mexico,North America
C0031,Arjun Mensah,Spain,Europe
C0032,Joseph Jones,South Korea,Asia
C0033,Ethan Johnson,Germany,Europe
C0034,Thabo Garcia,Brazil,South America
C0035,Diego Williams,India,Asia
C0036,Ingrid Muller,Spain,Europe
C0037,James Kobayashi,Mexico,North America
C0038,Ethan Rodriguez,Singapore,Asia
C0039,Linda Martinez,South Korea,Asia
C0040,James Fischer,Italy,Europe
C0041,Luca Costa,Argentina,South America
C0042,Thabo Martinez,United States,North America
C0043,Diego Miller,Chile,South America
C0044,Hans Costa,United States,North America
C0045,Diego Wang,South Africa,Africa
C0046,Min-jun Mensah,Germany,Europe
C0047,Jessica Johnson,New Zealand,Australia
C0048,Jennifer Williams,Mexico,North America
C0049,Ethan Rossi,China,Asia
